accuracy,auc,loss,prc,precision,recall,val_accuracy,val_auc,val_loss,val_prc,val_precision,val_recall
0.934374988079071,0.9940134286880493,0.3924447000026703,0.976536750793457,0.97921222448349,0.8256457448005676,0.9140625,0.9895263314247131,0.4212568998336792,0.9712023735046387,0.9729729890823364,0.84375
0.8829113841056824,0.9898194074630737,0.4075808823108673,0.9619216918945312,0.9407407641410828,0.8037974834442139,0.921875,0.9911010265350342,0.40202054381370544,0.9761972427368164,0.9907407164573669,0.8359375
0.9375,0.9941163063049316,0.3814988136291504,0.9760674238204956,0.9803921580314636,0.78125,0.921875,0.9912109375,0.3991456925868988,0.9766442179679871,0.9908257126808167,0.84375
0.8968750238418579,0.99098140001297,0.40513020753860474,0.9657465815544128,0.9594095945358276,0.8125,0.9296875,0.991241455078125,0.3980562686920166,0.976529061794281,0.9908257126808167,0.84375
0.9272152185440063,0.9941555857658386,0.4024185836315155,0.9766536355018616,0.9657794833183289,0.8037974834442139,0.921875,0.99102783203125,0.4025810956954956,0.9753654599189758,0.9819819927215576,0.8515625
0.9375,0.9926025867462158,0.4243306517601013,0.9692915678024292,0.9629629850387573,0.8125,0.921875,0.9908203482627869,0.4029349684715271,0.9751644134521484,0.9821428656578064,0.859375
0.90625,0.9929473400115967,0.3890492916107178,0.9734012484550476,0.9774436354637146,0.8125,0.921875,0.990985095500946,0.40049469470977783,0.975928783416748,0.9824561476707458,0.875
0.9208860993385315,0.9938411116600037,0.39893612265586853,0.9752264618873596,0.984674334526062,0.8132911324501038,0.921875,0.9917603135108948,0.39205026626586914,0.9779832363128662,0.9909090995788574,0.8515625
0.9375,0.9916015863418579,0.4004879891872406,0.9758451581001282,0.9814814925193787,0.828125,0.9296875,0.9917358756065369,0.39219650626182556,0.9779409766197205,0.9908257126808167,0.84375
0.9240506291389465,0.9941976070404053,0.38825809955596924,0.9780916571617126,0.981203019618988,0.8259493708610535,0.9296875,0.991198718547821,0.4018435478210449,0.9755357503890991,0.9908257126808167,0.84375
0.9312499761581421,0.9933134317398071,0.4122310280799866,0.9743889570236206,0.9741697311401367,0.824999988079071,0.9296875,0.9910582900047302,0.4026864767074585,0.974617600440979,0.9907407164573669,0.8359375
0.859375,0.9919677972793579,0.40867647528648376,0.9674627780914307,0.9807692170143127,0.796875,0.9296875,0.9910949468612671,0.40189093351364136,0.9747951030731201,0.9907407164573669,0.8359375
0.8955696225166321,0.9918943643569946,0.4132841229438782,0.9702009558677673,0.9698113203048706,0.8132911324501038,0.9296875,0.9906859993934631,0.39920514822006226,0.9749833345413208,0.982300877571106,0.8671875
0.893750011920929,0.9900254011154175,0.41701292991638184,0.9637102484703064,0.9509434103965759,0.7875000238418579,0.9296875,0.991564929485321,0.38858234882354736,0.9776648879051208,0.9824561476707458,0.875
0.90625,0.9934569597244263,0.38059213757514954,0.9693659543991089,0.9272727370262146,0.796875,0.9296875,0.9917052984237671,0.38616839051246643,0.9780403971672058,0.9824561476707458,0.875
0.925000011920929,0.9938115477561951,0.3827612102031708,0.9800043702125549,0.97826087474823,0.84375,0.9296875,0.9924377202987671,0.3779105544090271,0.9794540405273438,0.9910714030265808,0.8671875
0.9208860993385315,0.993709921836853,0.38477823138237,0.9735336303710938,0.9768339991569519,0.800632894039154,0.921875,0.992279052734375,0.3768908381462097,0.9790290594100952,0.9824561476707458,0.875
0.921875,0.9954346418380737,0.3797208070755005,0.9785753488540649,0.9454545378684998,0.8125,0.921875,0.9922851920127869,0.37640446424484253,0.9790728092193604,0.9826086759567261,0.8828125
0.934374988079071,0.9944912195205688,0.3653881549835205,0.9810166358947754,0.9891696572303772,0.856249988079071,0.921875,0.9921325445175171,0.3822828233242035,0.9786152839660645,0.9909909963607788,0.859375
0.9335442781448364,0.9961464405059814,0.3450607657432556,0.9854132533073425,0.9891696572303772,0.8670886158943176,0.9140625,0.9916503429412842,0.3872102200984955,0.9777199029922485,0.9909090995788574,0.8515625
